submission	topK	wt_idx	count
submission_aggressive	10	tournament_wt_1	10
submission_aggressive	50	tournament_wt_1	50
submission_aggressive	100	tournament_wt_1	100
submission_aggressive	250	tournament_wt_1	250
submission_aggressive	500	tournament_wt_1	500
submission_aggressive	1000	tournament_wt_1	1000
submission_balanced	10	tournament_wt_1	10
submission_balanced	50	tournament_wt_1	50
submission_balanced	100	tournament_wt_1	100
submission_balanced	250	tournament_wt_1	250
submission_balanced	500	tournament_wt_1	500
submission_balanced	1000	tournament_wt_1	1000
submission_base_only	10	tournament_wt_1	10
submission_base_only	50	tournament_wt_1	50
submission_base_only	100	tournament_wt_1	100
submission_base_only	250	tournament_wt_1	250
submission_base_only	500	tournament_wt_1	500
submission_base_only	1000	tournament_wt_1	1000
submission_conservative	10	tournament_wt_1	10
submission_conservative	50	tournament_wt_1	50
submission_conservative	100	tournament_wt_1	100
submission_conservative	250	tournament_wt_1	250
submission_conservative	500	tournament_wt_1	500
submission_conservative	1000	tournament_wt_1	1000
submission_diverse	10	tournament_wt_1	10
submission_diverse	50	tournament_wt_1	50
submission_diverse	100	tournament_wt_1	100
submission_diverse	250	tournament_wt_1	250
submission_diverse	500	tournament_wt_1	500
submission_diverse	1000	tournament_wt_1	1000
