submission	topK	n_unique_wt_idx
submission_aggressive	10	1
submission_aggressive	50	1
submission_aggressive	100	1
submission_aggressive	250	1
submission_aggressive	500	1
submission_aggressive	1000	1
submission_balanced	10	1
submission_balanced	50	1
submission_balanced	100	1
submission_balanced	250	1
submission_balanced	500	1
submission_balanced	1000	1
submission_base_only	10	1
submission_base_only	50	1
submission_base_only	100	1
submission_base_only	250	1
submission_base_only	500	1
submission_base_only	1000	1
submission_conservative	10	1
submission_conservative	50	1
submission_conservative	100	1
submission_conservative	250	1
submission_conservative	500	1
submission_conservative	1000	1
submission_diverse	10	1
submission_diverse	50	1
submission_diverse	100	1
submission_diverse	250	1
submission_diverse	500	1
submission_diverse	1000	1
