path	filename	title	authors	year	file_size_bytes
/Users/bustin/Downloads/petase/Cui_Supp.pdf	Cui_Supp.pdf		"(
    ""Microsoft\U00ae Word 2016""
)"	2025-10-12 18:12:20 +0000	2518702
/Users/bustin/Downloads/petase/Hong_caPETase_2023.pdf	Hong_caPETase_2023.pdf	Discovery and rational engineering of PET hydrolase with both mesophilic and thermophilic PET hydrolase properties	"(
    Springer
)"	2025-10-12 18:12:42 +0000	2499600
/Users/bustin/Downloads/petase/Hong_supp.pdf	Hong_supp.pdf	PowerPoint 프레젠테이션	"(
    ""Microsoft\U00ae PowerPoint\U00ae Microsoft 365\U110b\U116d\U11bc""
)"	2025-10-12 18:12:26 +0000	10076950
/Users/bustin/Downloads/petase/Lu_Supp.pdf	Lu_Supp.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2025-10-12 18:12:24 +0000	2480123
/Users/bustin/Downloads/petase/alam_2025.pdf	alam_2025.pdf	Widespread distribution of bacteria containing PETases with a functional motif across global oceans	"(
    ""LaTeX with hyperref package""
)"	2025-10-12 18:12:14 +0000	2231362
/Users/bustin/Downloads/petase/alam_supp.pdf	alam_supp.pdf			2025-10-12 18:12:16 +0000	11781009
/Users/bustin/Downloads/petase/align2023_paper.pdf	align2023_paper.pdf	Results of the Protein Engineering Tournament: An Open Science Benchmark for Protein Modeling and Design		2025-09-14 19:32:58 +0000	2609603
/Users/bustin/Downloads/petase/bell_direvo_2022.pdf	bell_direvo_2022.pdf	Directed evolution of an efficient and thermostable PET depolymerase	"(
    Springer
)"	2025-10-12 18:12:52 +0000	6029046
/Users/bustin/Downloads/petase/bell_supp.pdf	bell_supp.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2026-01-04 21:39:40 +0000	5787594
/Users/bustin/Downloads/petase/brott_2021.pdf	brott_2021.pdf	Engineering and evaluation of thermostable IsPETase variants for PET degradation	"(
    ""LaTeX with hyperref package""
)"	2026-01-04 21:48:27 +0000	1122778
/Users/bustin/Downloads/petase/brott_supp.pdf	brott_supp.pdf	elsc.202100105_Eng_Life_ Sci._Paper_PETase_Supporting Information_Revision_Clean	"(
    Word
)"	2025-12-30 08:06:26 +0000	10566026
/Users/bustin/Downloads/petase/bugin_mechanism_2024.pdf	bugin_mechanism_2024.pdf	The reaction mechanism of the Ideonella sakaiensis PETase enzyme	"(
    Springer
)"	2025-10-12 18:12:46 +0000	2472309
/Users/bustin/Downloads/petase/charlier_ph_2024.pdf.pdf	charlier_ph_2024.pdf.pdf	Exploring the pH dependence of an improved PETase	"(
    Elsevier
)"	2026-01-05 23:47:00 +0000	5376059
